id,mean_rr_ms,mean_hr_bpm,sdnn_ms,rmssd_ms,pnn50_pct,sd1_ms,sd2_ms,n_beats,pct_removed
nsr001,759.65,78.98,169.66,38.4,9.48,27.15,238.39,106464,0.346
nsr002,754.37,79.54,130.3,37.67,1.84,26.64,182.33,111334,0.044
nsr003,865.89,69.29,104.08,42.94,9.5,30.36,144.02,97585,0.275
nsr004,850.86,70.52,172.64,32.08,8.79,22.68,243.1,97821,0.021
nsr005,734.58,81.68,222.16,45.63,6.86,32.27,312.51,116773,0.443
nsr006,807.33,74.32,166.65,29.71,2.81,21.01,234.75,102663,0.376
nsr007,788.49,76.1,101.64,32.54,1.93,23.01,141.89,106792,0.64
nsr008,795.53,75.42,145.71,32.85,5.71,23.23,204.75,107739,0.283
nsr009,836.13,71.76,167.93,42.34,10.95,29.94,235.6,102861,0.012
nsr010,855.96,70.1,186.95,52.76,7.86,37.31,261.74,96252,0.039
nsr011,736.46,81.47,119.43,33.24,4.05,23.5,167.26,115900,0.489
nsr012,868.4,69.09,169.9,24.89,3.38,17.6,239.63,98905,0.068
nsr013,728.94,82.31,153.18,21.26,1.7,15.03,216.11,115757,0.065
nsr014,767.68,78.16,149.89,86.6,28.96,61.23,202.94,111896,0.031
nsr015,790.04,75.95,106.59,44.35,3.0,31.36,147.44,100961,1.737
nsr016,777.36,77.18,120.03,52.95,4.14,37.44,165.56,94768,2.385
nsr017,851.89,70.43,156.4,77.96,20.3,55.12,214.21,100959,0.001
nsr018,776.31,77.29,135.72,68.91,7.62,48.73,185.65,107982,0.679
nsr019,700.02,85.71,117.14,17.42,0.77,12.32,165.2,122822,0.032
nsr020,613.86,97.74,103.15,28.2,2.73,19.94,144.51,136481,0.122
nsr021,827.92,72.47,136.14,28.46,5.95,20.12,191.48,103875,0.01
nsr022,1038.5,57.78,124.7,48.95,16.78,34.62,172.92,81720,0.081
nsr023,767.26,78.2,113.03,24.52,2.62,17.34,158.9,112094,0.003
nsr024,846.06,70.92,258.6,185.21,33.4,130.96,341.46,101102,0.392
nsr025,657.51,91.25,99.91,53.84,7.98,38.07,136.06,128789,0.55
nsr026,736.83,81.43,145.61,21.71,0.78,15.35,205.35,116482,0.235
nsr027,739.85,81.1,155.4,20.45,1.07,14.46,219.29,112713,0.483
nsr028,785.18,76.42,130.01,33.52,3.43,23.71,182.33,108037,0.23
nsr029,687.59,87.26,162.91,30.5,3.22,21.57,229.38,116387,1.143
nsr030,801.14,74.89,142.31,26.89,1.35,19.01,200.36,104874,0.584
nsr031,734.19,81.72,118.87,38.41,4.51,27.16,165.9,110280,0.909
nsr032,810.17,74.06,128.82,51.35,2.82,36.31,178.53,102501,0.605
nsr033,1031.16,58.19,161.11,38.4,7.8,27.15,226.22,76760,0.794
nsr034,843.58,71.13,156.25,30.93,2.17,21.87,219.88,97708,0.661
nsr035,719.61,83.38,106.81,30.38,3.69,21.48,149.52,117821,0.358
nsr036,725.81,82.67,101.33,42.4,9.51,29.98,140.13,113845,0.883
nsr037,875.99,68.49,151.29,23.53,1.33,16.64,213.31,93449,0.184
nsr038,731.87,81.98,142.64,29.89,4.06,21.14,200.61,101864,0.584
nsr039,832.46,72.08,116.91,47.89,3.33,33.86,161.84,98927,1.526
nsr040,720.23,83.31,119.39,29.02,9.32,20.52,167.59,117681,0.111
nsr041,756.17,79.35,91.65,42.67,5.44,30.17,126.06,102033,1.603
nsr042,793.36,75.63,131.76,33.66,6.66,23.8,184.81,108084,0.087
nsr043,766.23,78.31,139.62,45.55,2.4,32.21,194.8,103046,1.309
nsr044,732.43,81.92,158.15,156.59,18.13,110.73,194.32,111115,1.805
nsr045,821.24,73.06,138.27,61.86,13.66,43.74,190.58,94122,1.972
nsr046,859.88,69.78,172.35,47.2,8.83,33.37,241.45,95312,0.244
nsr047,764.59,78.47,135.29,38.89,9.63,27.5,189.35,112932,0.247
nsr048,723.08,82.98,145.21,42.15,7.15,29.8,203.19,116264,1.373
nsr049,814.72,73.64,145.16,63.39,9.77,44.82,200.33,104044,1.079
nsr050,678.16,88.47,122.48,31.54,3.35,22.3,171.77,127043,0.15
nsr051,805.41,74.5,186.17,52.5,20.95,37.12,260.65,106652,0.131
nsr052,688.68,87.12,151.73,28.15,3.19,19.91,213.65,118805,0.279
nsr053,820.46,73.13,160.92,34.35,10.59,24.29,226.27,98731,0.071
nsr054,689.08,87.07,143.31,38.28,8.22,27.07,200.85,119848,0.85
